year,month,av_dailymax_temp_F,av_dailymin_temp_F,dailyav_temp_F,precip_in
2012,1,60.35,36.23,47.46,4.88
2012,2,59.66,38.03,47.79,1.6
2012,3,56.13,36.39,45.92,7.72
2012,4,68.37,41.83,54.38,2.23
2012,5,80.13,48.55,64.55,0.61
2012,6,84.37,54.07,69.59,0.06
2012,7,93.06,53.9,75.05,0
2012,8,97.94,58.45,78.93,0
2012,9,93.63,52.57,73.12,0
2012,10,77.35,47.52,61.81,1.37
2012,11,63.93,40.6,51.12,7.66
2012,12,51.29,35.58,42.81,7.97
2013,1,57.61,36.9,46.27,0.97
2013,2,62.21,34.96,47.75,0.12
2013,3,67.48,39.35,52.4,1.34
2013,4,74.37,46.73,60.09,0.66
2013,5,79.65,50.45,65.11,0.02
2013,6,87.67,55.8,72.55,0.34
2013,7,97.45,58,79.19,0
2013,8,92.32,55.42,74.37,0
2013,9,85.2,52.7,68.36,0.38
2013,10,77.74,45.29,60.53,0
2013,11,67.17,41.63,53.37,0.56
2013,12,61.68,37.71,49.27,0.27
2014,1,67.71,42.06,54.43,0.05
2014,2,59.96,38.96,48.38,8.1
2014,3,64.94,42.48,53.31,4.24
2014,4,72.53,44.8,58.33,1.47
2014,5,79.52,50.84,65.38,0
2014,6,88.9,56.43,73.74,0
2014,7,94.1,59.48,77.72,0
2014,8,90.19,57.16,74.5,0
2014,9,86.23,54.2,70.39,0.47
2014,10,77.71,51.26,63.99,1.07
2014,11,63.83,42.47,52.19,2.83
2014,12,52.94,42.19,47.15,12.7
2015,1,63.45,42.16,52.11,0.08
2015,2,65.21,43.46,53.56,4.93
2015,3,70.39,44.48,57.41,0.3
2015,4,70.8,43.47,56.94,1.41
2015,5,75.32,45,60.57,1.19
2015,6,91.5,57.5,76.06,0.01
2015,7,90.87,58.65,75.73,0.03
2015,8,89.35,58.48,74.16,0
2015,9,84.97,57.13,71.15,0.47
2015,10,79.32,54.58,66.63,0
2015,11,57.97,39.8,48.47,1.82
2015,12,49.06,37,42.97,5.4
2016,1,49.74,39.68,44.52,8.22
2016,2,64,44.74,54.03,1.1
2016,3,59.65,43.29,51.26,9.12
2016,4,67.93,46.97,57.53,0.92
2016,5,73.9,51.03,63.18,0.49
2016,6,86.4,58.43,73.38,0.07
2016,7,90.55,60.74,77.05,0
2016,8,90.74,60.06,76.23,0
2016,9,85.27,57.03,71.65,0
2016,10,65.84,48.16,56.71,6.77
2016,11,60,42.3,50.61,2.81
2016,12,52.16,36.94,44.42,4.77
2017,1,49.87,36.42,42.59,16.96
2017,2,52.5,40.21,46.13,13.85
2017,3,62.1,42.1,51.76,2.89
2017,4,62.2,43.63,52.86,3
2017,5,76.03,51.16,64.24,0
2017,6,85.73,58.3,73.61,0.05
2017,7,93.94,61.06,79.56,0
2017,8,93.84,65.58,80.49,0
2017,9,83.43,59.07,71.32,0
2017,10,76.87,52.42,64.11,0.42
2017,11,58.2,42.57,49.98,3.87
2017,12,60.16,42.26,50.52,0.02
2018,1,55.94,42.26,48.93,4.63
2018,2,59.64,41.71,50.28,0.55
2018,3,56.68,39.48,47.91,5.65
2018,4,65.3,43.5,54.71,2.51
2018,5,75.19,49.26,62.41,0.12
2018,6,86.3,57.07,72.88,0
2018,7,95.19,64.97,81.1,0
2018,8,90.26,59.65,75.2,0
2018,9,85.77,55,70.73,0
2018,10,74.94,51.94,63.37,1.08
2018,11,64.97,45.33,55.29,3.87
2018,12,53.39,39.16,45.9,2.55
2019,1,54.87,42.13,48.22,8.09
2019,2,46.68,34.29,39.91,15.14
2019,3,55.81,39.39,47.51,5.71
2019,4,68.37,48.63,58.35,0.88
2019,5,69.77,46.48,58.56,3.17
2019,6,85.8,59.07,73.87,0
2019,7,89.48,59.52,75.92,0
2019,8,91.32,61.1,76.97,0
2019,9,81.57,55.23,68.55,0.13
2019,10,73.84,49.03,61.33,0
2019,11,67.37,43.67,55.32,1.72
2019,12,51.71,39.94,45.62,7.66
2020,1,54.13,38.68,45.94,1.98
2020,2,64.26,43.07,53.43,0
2020,3,56.88,38.31,47.46,0.96
2020,4,69.46,46.68,57.5,0.7
2020,5,75.16,50.9,63.32,0.98
2020,6,85.4,57.89,72.64,0
2020,7,92.55,60.87,77.99,0
2020,8,93.9,64.35,79.56,0.13
2020,9,89.63,60.43,75.1,0
2020,10,83.32,56.35,69.64,0
2020,11,63.37,41.83,51.85,1.06
2020,12,58.13,40.26,48.92,1.87
2021,1,55.35,39.87,47.16,2.76
2021,2,59,41.39,49.55,1.68
2021,3,58.65,38.39,48.15,1.92
2021,4,72.27,44.7,58.64,0.59
2021,5,80.23,53.29,67.37,0
2021,6,88.9,59.53,74.87,0
2021,7,95.81,64.39,81.5,0
2021,8,93.55,63.32,79.12,0
2021,9,87.1,58.4,72.72,0.17
2021,10,67.52,47.23,57.27,8.26
2021,11,64.53,45.77,54.87,1.7
2021,12,50.55,36.55,43.27,7.17
2022,1,59.45,40.48,49.57,0.43
2022,2,63.43,42.18,52.46,0.03
2022,3,65.68,43.06,53.93,0.96
2022,4,65.27,44.03,54.42,1.53
2022,5,74.26,50.55,62.28,0.14
2022,6,84.4,58.3,71.87,0.37
2022,7,91.61,60.74,77.19,0
2022,8,92.35,61.77,77.7,0.03
2022,9,86.37,58.93,72.67,1.16
2022,10,80.61,51.94,65.81,0
2022,11,58.4,38.33,48.11,1.68
2022,12,51.16,36.74,43.57,10.8
