Planting_ID,Block,Comps,plant_present,present_with_seeds,seeds,glumes,undeveloped,Date_counted,Notes
737,8,y,y,y,5,6,1,9/10/2020,
738,8,y,y,y,1,3,4,9/10/2020,slightly green
739,8,y,y,y,7,7,0,9/10/2020,
740,8,y,y,y,9,8,0,9/10/2020,
741,8,y,n,,,,,9/10/2020,
742,8,y,n,,,,,9/10/2020,
743,8,y,n,,,,,9/10/2020,
744,8,y,n,,,,,9/10/2020,
745,8,y,y,y,4,3,0,9/10/2020,still green
746,8,y,y,y,5,5,0,9/10/2020,
747,8,y,y,y,3,2,0,9/10/2020,slightly green
748,8,y,y,n,0,0,0,9/10/2020,"tiny plant, no glumes"
749,8,y,n,,,,,9/10/2020,
750,8,y,y,y,6,6,0,9/10/2020,
751,8,y,y,y,3,4,0,9/10/2020,
752,8,y,y,y,6,6,0,9/10/2020,
753,8,y,n,,,,,9/10/2020,
754,8,y,n,,,,,9/10/2020,
755,8,y,n,,,,,9/10/2020,
756,8,y,y,y,6,5,0,9/10/2020,
757,8,y,n,,,,,9/10/2020,
758,8,y,n,,,,,9/10/2020,
759,8,y,n,,,,,9/10/2020,
760,8,y,n,,,,,9/10/2020,
761,8,y,y,n,0,1,0,9/10/2020,
762,8,y,n,,,,,9/10/2020,
763,8,y,n,,,,,9/10/2020,
764,8,y,n,,,,,9/10/2020,
765,8,y,y,y,3,2,0,9/10/2020,
766,8,y,n,,,,,9/10/2020,
767,8,y,y,y,5,4,0,9/10/2020,
768,8,y,y,y,9,9,0,9/10/2020,
769,8,y,y,y,13,14,0,9/10/2020,
770,8,y,n,,,,,9/10/2020,
771,8,y,y,y,3,2,0,9/10/2020,"still green, possibly a 3rd partially developed glume with no seeds"
772,8,y,n,,,,,9/10/2020,
773,8,y,y,y,3,2,0,9/10/2020,slightly green
774,8,y,n,,,,,9/10/2020,
775,8,y,y,y,5,3,0,9/10/2020,slightly green
776,8,y,y,y,5,2,0,9/10/2020,"slightly green, top glume had 3 seeds"
777,8,y,y,y,4,2,0,9/10/2020,slightly green
778,8,y,y,n,0,4,0,9/10/2020,All glumes empty
779,8,y,n,,,,,9/10/2020,
780,8,y,n,,,,,9/10/2020,
781,8,y,n,,,,,9/10/2020,
782,8,y,n,,,,,9/10/2020,
505,5,y,n,,,,,9/2/2020,
506,5,y,n,,,,,9/2/2020,
504,5,y,n,,,,,9/2/2020,
503,5,y,n,,,,,9/2/2020,
502,5,y,n,,,,,9/2/2020,
501,5,y,y,y,10,10,0,9/2/2020,
500,5,y,n,,,,,9/2/2020,
499,5,y,n,,,,,9/2/2020,
498,5,y,y,y,9,8,0,9/2/2020,
497,5,y,n,,,,,9/2/2020,
496,5,y,n,,,,,9/2/2020,
495,5,y,n,,,,,9/2/2020,
494,5,y,n,,,,,9/2/2020,
493,5,y,n,,,,,9/2/2020,
492,5,y,n,,,,,9/2/2020,
491,5,y,y,y,17,14,1,9/2/2020,
490,5,y,n,,,,,9/2/2020,
489,5,y,y,y,6,6,0,9/2/2020,
488,5,y,n,,,,,9/2/2020,
487,5,y,x,,,,,9/2/2020,"""missing"""
486,5,y,n,,,,,9/2/2020,
485,5,y,y,y,4,4,0,9/2/2020,
484,5,y,n,,,,,9/2/2020,
483,5,y,x,,,,,9/2/2020,"""missing"""
481,5,y,n,,,,,9/2/2020,
482,5,y,n,,,,,9/2/2020,
480,5,y,n,,,,,9/2/2020,
479,5,y,n,,,,,9/2/2020,
478,5,y,y,y,22,14,0,9/2/2020,
477,5,y,n,,,,,9/2/2020,
476,5,y,y,y,2,2,0,9/2/2020,
475,5,y,n,,,,,9/2/2020,
474,5,y,y,y,2,3,0,9/2/2020,
473,5,y,n,,,,,9/2/2020,
472,5,y,n,,,,,9/2/2020,
471,5,y,n,,,,,9/2/2020,
470,5,y,n,,,,,9/2/2020,
469,5,y,y,y,14,9,0,9/2/2020,
468,5,y,n,,,,,9/2/2020,
467,5,y,n,,,,,9/2/2020,
466,5,y,n,,,,,9/2/2020,
465,5,y,y,y,10,11,5,9/2/2020,
464,5,y,n,,,,,9/2/2020,
463,5,y,y,y,16,8,0,9/2/2020,
462,5,y,n,,,,,9/2/2020,
461,5,y,n,,,,,9/2/2020,
691,7,n,n,,,,,9/3/2020,
692,7,n,n,,,,,9/3/2020,
693,7,n,n,,,,,9/3/2020,
694,7,n,n,,,,,9/3/2020,
